Rank,Title,Heat,Link
2.,鹿晗回应喝多了,114.2万,/l?e=87ccnQetbZkGyA0krdmSDjloNCof%2BsxTN8nx%2FNY7Vcoz06fPo3zI%2FTfaC%2FeFTcVljbGkKGIoi7WaxKMAVtB2M5iPjt4gKGY7EVpUmGH9ue9BpcV8l9ug6ITe38NS%2FPzK%2FWsz2JnB75JY2jLc1owzuTX3CMJQfv8Y6lF5Q4gmhg4CqpBqSDvQPq0uwieei8dXiAyE7tcduKaUaNW4f425VSXhqOU8R6njvnTC3%2FJAvTpL7uF8oifEnQ18VBeuNINQw2A6fU%2BFq1iMXToR
3.,美国女子抱婴儿袭警母女都被射杀,40.0万,/l?e=4938Wv6sYAynlzgREl4tI9%2B%2BYU8hH5G9Z8xPhU86YT0rXCg6hEAputOzn9QMUDixDowYteNsH6DKq%2BdmyZJQfPYUgk%2FTLUkabWS%2Bz97C5zrsYbXUDeOSJP0TPtiOlEmk%2BeX%2FJYiIhh7FAPsVKz8TaBkonpWq%2BwAL7MpZs71BVNLBzYZj6oIuH4o3XGFd7CLs6Gn%2FVCD%2FWxse8AL88CGV21ZNJUM2QJXM8z%2Bypx6KtPiqW4w1jituQJAFrdhYfHbOLNRGZHyhRoCiY3S3joJIMA%2F6PO7abAE6E4CNGZAOaABhIOh%2F5Onc%2FVokk9Vv8aXiEAwPb3MKsafUYdh0NyxwTC1Ktd9IaZu2mFvdelKfyxwHs2JSG3jHwFSC3IzECH2VDnwlHO6NgEK4pL0dY%2FukRVEORpw4DnEqs8vbYo9eTARa7y%2BL
4.,43位志愿军烈士遗骸今日安葬,35.8万,/l?e=95bdmXBbTbN1RqWQyeiOxaKBhhxm3rjf0VY%2BjpODJUi4vj%2BvDIa7i46dAqnAq%2BuMWZPbFk21OvXEiqvT%2BdMRvAL1cEbd20ptafjLGo9TGxU3R9rLC%2FTSyupeih%2FDL3HR7VXhm%2Bn3rj5wOXaRJjRVSBruAfWmVqlobVqfEBKvSKCpAuxino6iF%2F0r3wq83Ye5VbGxNWS1kSynVeVRPnpLUhBePZwrR4lxpEWmKWdK7SasKopMlx0E934ZPoY%2F9YYAcw7ZgGjdnosT6Kc1Y7KNBX%2B3oYZDoQc9b5QBBXJ70m%2FvO5mYpqE9zHBu9G4IdbFCK4XUudNPZVMzGkD8mHOv0tazKBskuWHX3fLShxmacmmR5loQuc3kGQI
5.,OPPOReno13今日开售,,/l?e=45aevUQO64BhCc97BT4ZF1LvOC74ixuUR2W7f4XoYiPoiQ2Y2SFeACwKfMNyNKTzbm9uBwe5kIgwhSTx24Aw6bjRQH81glbYmjnzhmGei3%2F7x3Vq4jbRLS5ERA3I2s5Y4YUlZFOfSPf2AoJk000bPzUyZIfD5Cpo4%2BjAH5B8Qlck5Lup760og2HGnoxIWxdaAGGtwCglpPV9EvidXHX2jcAsPJ%2FKhspcVQ
6.,17名男女KTV聚众吸毒被一锅端,35.4万,/l?e=923cU6%2BN5UQ73M4gSSIFtXBCZOfwl4c8%2F8r2OdHOMqU8NZt5f7vnPXdvHxhAP8FYwkhkalfLuQFDS5AEyc0jsJ9RIsIyQKyakCtuk6bl6Yiy%2BC8%2FbBztC%2Bdp0SOX426hK4bSJQlZ%2FU4KBOu36xyW1anCYH%2Bffv83%2FY4VRKgo2AN4ysjMddZKBPpofd6UARUzt0ZX%2BOuidVF%2BNYiLJ7mm1ICm9OSPQYBpcKn1kMF65GUaUZqAXmiTN%2FV7uJXBUUhh0wCnNgkU5WspjkZSoTGBSBwzpAqjpz7NBfvcEeXbovEeqcyYJNaMEamJmiURjfpihBnruJ2SYFGw6Sh4RFuSQssQFMmFS6MESZ2vAbw
7.,韩国人的精致穷,34.7万,/l?e=3eb3K%2BuOwuHR98P3DmRZk2n9EqQHw1I1vDuDdjGLKdzhR%2BFKo84nP%2FnkKwjptm8zHSBNRKSSjdlxwCi8eTDll8u9ojmMQBgvnzQ7w0jW%2Bgl9gZgr2r5H5GrT%2BS%2B1QyJs5FBJzG6CVsBmpT5PVZHMgZSbS6rRvJXmbzz6bGrEYMatzmT5KQ6rryU8hHLJWk0yyFkGYyHmvuX2n%2BX9ewfxQ%2FADmlAYgf0EtsITuT%2B%2BEDExkNcZc%2BIXRNjiywR2tl3cB8YK5FC60IdYhRZj
8.,鹿晗好拽,34.7万,/l?e=7d9fSWLx3Zsq0GWnSOVAQKOWhvZG%2FFNE9QGpMtoJCVc5SuGAHC%2F08gtEzbpc63WcW9ylrw1VWXvJb3OA1Ilm%2BEhkGh%2FvXbfnIgdQTqmqx8KUTDJqmZOAEX69cfKWyRUPrlqI0%2FRozBkTy4pK2B4mrsINNkGEhh9dA8v8HPUX47%2BAPvPWBvB02wAU35V7eUZC%2BEkVOePBpUcsqKWS4UlF
9.,星动剪刀手养成日记,,/l?e=87749ZEYSUWM3SsmCsyQx83is%2BtEA8iaZIL7linSRVxikAGieiBOB%2BCmcYySRXq7slDNNBcdh6YAsFBqTvWVEzL0rqoOoaFxM1yVSjTL7lKLrUtmsKX79xmKVoiFi8VeE3beEPNAhC%2FHGSU0Gt6OOhSjAfrfE8UdkRmJxlua205oG9DMky%2Ff0RrjEgXa8KG4ukhCghDOSYOVALJl%2Fc0RJ27e9OWLYUHl%2F7e98hjCxbWbyA8EtPB2ItwioRHPFRKe9QwZ9A9j1ITfuVLZ2UayzddXNEbK9JhQVcGcdBu3X%2BRBcCazpiYBqHqN
10.,山东一金店被抢损失或超千万,34.5万,/l?e=343fITc1EoTqxltuCb6vLppKdS0z3VtsUN0vw%2FY%2FUNspy2FCklmL9gMC1PPEVZFayXyrLueDLFF33ClbgzPANF%2FkZ7vNK2OwlcNqouuFCYMHB6vg0pZBiNszMFGEyZB1wC8s%2Bk9D1ZsGvrIYVr3tCY0ph%2Fzzyur4h5hBo6mfrE6pyDeSjTbAaTgNEsPCe1vLEca1nxHOGVS2jTQIXkmhgsSeQo8ZoNfgwTKBRyCbfPQdVyOj%2BS7791F70E4%2FqaObp5MNFLy31bKST53YKxmPU2ePspFOlOuJc8gJq8eo04J1prJbdDXYrF1HHWlEPwJT4%2Be6WvvLseMpc7%2BeMembuZ1bCc7UyRKhORdDt7UQc%2FjenERZVrlkBeEHRDNeRXGgXwQ9b8ox
11.,再见爱人4第七期视频没了,综艺 342509,/l?e=527cCI3zYnKHgp2AaibBmYsseNtOE7YKvb%2FFhrjsUPN8lPdYIoQx2lpdtIuVTKE6qJL0%2F%2FezpYgIg5eyd7ZK8iaJXevKbK1bTzTPce4jQzsQ%2BIyx0gYaMweiAlnG8F9XTemLpwqoomtqm9DrivO0rz5dd3%2BVvSWdC8RQWl3POThTnRwBCZhi01v2Q7wQYw0qPPgH3L%2F4tqpdzwj1PIqF9XhIEFcV2BahdQ87Lk2Qij%2BD6gRk10WtW3jUBj62hiHtLt%2F%2FppsLegvpq370yuec6SQ83lxrC%2B8ZCklIPwGlXlGvNvvJ8vhHX%2BVV8ubdaDryHg2Lz0VxZVPBxMuhjABKAtmq5t4bKCQMmg
